[META] fileC_10m.bin.meta.json: 2560 blocos x 4096 B  sha256=a8d923f027ed0245...
[SEEDER] 2560 blocos carregados de 'fileC_10m.bin'
[SEEDER] aguardando requisicoes... (Ctrl+C para encerrar)
[SERVER] ouvindo na porta 5000
[SERVER] bloco 467 -> 127.0.0.1:33822
[SERVER] bloco 468 -> 127.0.0.1:33830
[SERVER] bloco 469 -> 127.0.0.1:33838
[SERVER] bloco 470 -> 127.0.0.1:33846
[SERVER] bloco 471 -> 127.0.0.1:33856
[SERVER] bloco 472 -> 127.0.0.1:33860
[SERVER] bloco 473 -> 127.0.0.1:33866
[SERVER] bloco 474 -> 127.0.0.1:33876
[SERVER] bloco 475 -> 127.0.0.1:33886
[SERVER] bloco 476 -> 127.0.0.1:33890
[SERVER] bloco 477 -> 127.0.0.1:33904
[SERVER] bloco 478 -> 127.0.0.1:33912
[SERVER] bloco 479 -> 127.0.0.1:33920
[SERVER] bloco 480 -> 127.0.0.1:33926
[SERVER] bloco 481 -> 127.0.0.1:33932
[SERVER] bloco 482 -> 127.0.0.1:33944
[SERVER] bloco 483 -> 127.0.0.1:33952
[SERVER] bloco 484 -> 127.0.0.1:33954
[SERVER] bloco 485 -> 127.0.0.1:33964
[SERVER] bloco 486 -> 127.0.0.1:33966
[SERVER] bloco 487 -> 127.0.0.1:33976
[SERVER] bloco 488 -> 127.0.0.1:33980
[SERVER] bloco 489 -> 127.0.0.1:33996
[SERVER] bloco 490 -> 127.0.0.1:34010
[SERVER] bloco 491 -> 127.0.0.1:34014
[SERVER] bloco 492 -> 127.0.0.1:34030
[SERVER] bloco 493 -> 127.0.0.1:34044
[SERVER] bloco 494 -> 127.0.0.1:34054
[SERVER] bloco 495 -> 127.0.0.1:34064
[SERVER] bloco 496 -> 127.0.0.1:34078
[SERVER] bloco 497 -> 127.0.0.1:34094
[SERVER] bloco 498 -> 127.0.0.1:34102
[SERVER] bloco 499 -> 127.0.0.1:34116
[SERVER] bloco 500 -> 127.0.0.1:34120
[SERVER] bloco 501 -> 127.0.0.1:34134
[SERVER] bloco 502 -> 127.0.0.1:34140
[SERVER] bloco 503 -> 127.0.0.1:34150
[SERVER] bloco 504 -> 127.0.0.1:34160
[SERVER] bloco 505 -> 127.0.0.1:34166
[SERVER] bloco 506 -> 127.0.0.1:34172
[SERVER] bloco 507 -> 127.0.0.1:34186
[SERVER] bloco 508 -> 127.0.0.1:34196
[SERVER] bloco 509 -> 127.0.0.1:34200
[SERVER] bloco 510 -> 127.0.0.1:34216
[SERVER] bloco 511 -> 127.0.0.1:34220
